"code","name","requirement_type","semester","start_year","end_year","semester_season"
"IB980g","Szakdolgozat készítése 1. BSc (mi)","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IMN502G","Szakdolgozat és Diplomamunka I.","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IMN311L","Operációs rendszerek az iskolában gyak","Gyakorlati jegy","2018/19/2","2018","2019","spring"
"IB611g","Rendszerfejlesztés II. gyak.","Gyakorlati jegy","2018/19/2","2018","2019","spring"
"IB611g","Rendszerfejlesztés II. gyak.","Gyakorlati jegy","2019/20/2","2019","2020","spring"
"IML311E-00001","L Operációs rendszerek az iskolában ea. MSc.","Kollokvium","2019/20/1","2019","2020","fall"
"ITL311MKE","Operációs rendszerek az iskolában","Kollokvium","2019/20/2","2019","2020","spring"
"IML5021miG","Diplomamunka készítése I. gy.","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IMN311E","Operációs rendszerek az iskolában","Kollokvium","2018/19/2","2018","2019","spring"
"IML311E-00002","L Operációs rendszerek az iskolában ea. ","Kollokvium","2017/18/1","2017","2018","fall"
"I056g","Szoftverfejlesztés gyak.","Gyakorlati jegy","2013/14/2","2013","2014","spring"
"I611l","Rendszerfejlesztés II. gyak.","Gyakorlati jegy","2014/15/2","2014","2015","spring"
"ITN311MKE","Operációs rendszerek az iskolában","Kollokvium","2021/22/2","2021","2022","spring"
"IMN551","Diplomamunka készítése II. MSc","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"IB955","Szakdolgozat készítés 2. (pti2)","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"IMEN3000","Thesis Work 1.","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"IMN501","Szakdolgozat és Diplomamunka I.","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"IMN602G1","Szakdolgozat és Diplomamunka I.","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"IB980","Szakdolgozat készítése 1. BSc (mi)","Gyakorlati jegy","2022/23/1","2022","2023","fall"
